OTU,Size,Phylum,Class,Order,Family,Genus
Otu00001,1057898,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00002,630318,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00003,458760,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella
Otu00004,240736,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
Otu00005,119535,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00006,113044,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00007,97332,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahellaceae
Otu00008,57086,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00009,35771,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00010,27914,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
Otu00011,23987,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00012,21266,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00013,20886,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00014,20839,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00015,19530,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00016,17511,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00017,16081,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu00018,15121,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00019,13725,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga
Otu00020,13056,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00021,12351,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola
Otu00022,11643,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu00023,10840,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00024,10296,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00025,10081,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00026,10073,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Epsilonproteobacteria
Otu00027,9552,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00028,9221,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00029,9145,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas
Otu00030,9094,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00031,8663,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola
Otu00032,7623,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea
Otu00033,7591,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
Otu00034,7590,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00035,7285,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00036,7271,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter
Otu00037,7139,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Otu00038,7127,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonadaceae
Otu00039,7093,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pelagibius
Otu00040,7043,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
Otu00041,6738,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Otu00042,6549,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris
Otu00043,6085,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularculaceae
Otu00044,5893,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00045,5650,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga
Otu00046,5601,Proteobacteria,Alphaproteobacteria,SAR11,Candidatus_Pelagibacter,Candidatus_Pelagibacter
Otu00047,5595,Chlamydiae,Chlamydiia,Chlamydiales,Simkaniaceae,Simkania
Otu00048,5499,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00049,5497,Proteobacteria,Alphaproteobacteria,Eilatimonas,Eilatimonas,Eilatimonas
Otu00050,5412,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
Otu00051,5409,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
Otu00052,5227,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00053,5156,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00054,4728,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga
Otu00055,4617,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pelagibius
Otu00056,4586,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta
Otu00057,4572,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales0,Chromatiales
Otu00058,4241,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Otu00059,4162,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00060,4125,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira
Otu00061,4095,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda
Otu00062,3832,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Epsilonproteobacteria
Otu00063,3747,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis
Otu00064,3719,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00065,3677,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
Otu00066,3670,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00067,3666,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
Otu00068,3586,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Otu00069,3459,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta
Otu00070,3385,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00071,3316,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter
