Frag.ID	Parent.ID	Treatment	Species	Time.Point
9	363	High	Montipora_capitata	TEnd
31	320	Ambient	Porites_compressa	T0
61	301	Ambient	Pocillopora_damicornis	TEnd
70	313	High	Porites_compressa	TEnd
74	314	High	Porites_compressa	T0
102	311	Ambient	Pocillopora_damicornis	TEnd
128	310	Ambient	Pocillopora_damicornis	TEnd
132	308	Ambient	Pocillopora_damicornis	TEnd
148	356	High	Pavona_varians	T0
153	371	Ambient	Montipora_capitata	T1
158	307	Ambient	Pocillopora_damicornis	TEnd
169	305	Ambient	Pocillopora_damicornis	TEnd
179	369	High	Montipora_capitata	T1
192	373	Ambient	Montipora_capitata	TEnd
197	309	Ambient	Pocillopora_damicornis	TEnd
199	317	Ambient	Porites_compressa	T1
208	354	High	Pavona_varians	T0
223	371	Ambient	Montipora_capitata	TEnd
226	324	High	Porites_compressa	T1
231	359	Ambient	Pavona_varians	T0
238	325	High	Pavona_varians	TEnd
244	353	Ambient	Pavona_varians	TEnd
249	360	Ambient	Pavona_varians	T1
263	361	Ambient	Pavona_varians	T0
277	361	Ambient	Pavona_varians	TEnd
284	314	Ambient	Porites_compressa	T1
305	314	Ambient	Porites_compressa	TEnd
314	305	High	Pocillopora_damicornis	T1
335	363	High	Montipora_capitata	TF
377	373	Ambient	Montipora_capitata	TF
391	357	Ambient	Pavona_varians	T0
403	309	Ambient	Pocillopora_damicornis	TF
417	356	Ambient	Pavona_varians	TEnd
419	370	Ambient	Montipora_capitata	T1
420	354	Ambient	Pavona_varians	TF
422	357	Ambient	Pavona_varians	TF
425	351	High	Pavona_varians	TEnd
428	310	Ambient	Pocillopora_damicornis	TF
431	306	Ambient	Pocillopora_damicornis	T1
436	357	Ambient	Pavona_varians	T1
471	356	Ambient	Pavona_varians	TF
473	305	High	Pocillopora_damicornis	TF
477	310	High	Pocillopora_damicornis	TF
478	312	Ambient	Pocillopora_damicornis	TEnd
488	358	Ambient	Pavona_varians	T0
490	357	High	Pavona_varians	T1
508	322	High	Porites_compressa	TEnd
554	354	Ambient	Pavona_varians	T1
579	323	Ambient	Porites_compressa	TF
616	355	High	Pavona_varians	T0
617	305	High	Pocillopora_damicornis	TEnd
619	368	High	Montipora_capitata	TF
626	314	Ambient	Porites_compressa	TEnd
634	318	High	Porites_compressa	TF
650	320	Ambient	Porites_compressa	T1
657	374	Ambient	Montipora_capitata	TEnd
664	361	Ambient	Pavona_varians	T1
670	371	High	Montipora_capitata	T1
697	321	Ambient	Porites_compressa	TEnd
706	301	Ambient	Pocillopora_damicornis	TEnd
755	312	Ambient	Pocillopora_damicornis	T0
761	355	Ambient	Pavona_varians	T1
766	324	Ambient	Porites_compressa	TEnd
775	361	High	Pavona_varians	TF
779	306	Ambient	Pocillopora_damicornis	TF
785	302	Ambient	Pocillopora_damicornis	T1
797	365	Ambient	Montipora_capitata	T1
809	323	Ambient	Porites_compressa	T1
828	358	Ambient	Pavona_varians	TEnd
832	360	Ambient	Pavona_varians	TF
840	371	High	Montipora_capitata	TF
848	367	Ambient	Montipora_capitata	T1
881	366	High	Montipora_capitata	TEnd
907	353	Ambient	Pavona_varians	TEnd
914	325	High	Pavona_varians	T0
915	304	High	Pocillopora_damicornis	T0
925	351	High	Pavona_varians	TEnd
946	316	High	Porites_compressa	T1
